Age Group,2015,2016,2017,2018,2019,2020,2021
65,526907,504398,504167,501423,475843,517836,498920
66,434510,514301,493104,493016,490063,465125,505511
67,379758,423593,501467,481354,480965,478417,453087
68,362327,369280,412394,488077,468982,468458,464844
69,235161,351980,358613,400651,473774,456131,453919
70,267330,227984,341261,347745,388285,458963,441090
71,235972,257690,220501,330123,336192,375404,442006
72,297309,226975,247744,213082,318406,324092,360867
73,384437,285034,217680,237472,205152,306233,310116
74,382902,368301,272273,208152,226851,197006,292587
75,397713,365066,351525,259397,198152,215890,187757
76,400259,376934,346812,335004,245904,187949,203369
77,392885,377437,355628,328293,317261,232061,176604
78,303595,367864,354350,334278,309179,299208,216770
79,236094,282648,342829,331301,312199,289908,279236
80 and over,1438621,1469377,1547186,1677902,1787343,1873818,1924507
Total,42759661,42590879,42414905,42216766,41983564,41732779,41418717